Variable,Value
makam,gerdaniye
form,turku
usul,sofyan
title,benusene_gideyim
composer,
filename,gerdaniye--turku--sofyan--benusene_gideyim--.txt
note_count,319
unique_note_count,10
minimum_koma53,-1
maximum_koma53,358
mean_koma53,320.5078369905956
median_koma53,327.0
std_koma53,43.563722228056704
koma53_range,359
total_unit_duration,46.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.14498432601880878
median_unit_duration,0.125
std_unit_duration,0.07868722591975008
most_common_note,D5
most_common_note_count,60
