Variable,Value
makam,neva
form,turku
usul,nimsofyan
title,ankaranin_tasina
composer,ankara
filename,neva--turku--nimsofyan--ankaranin_tasina--ankara.txt
note_count,297
unique_note_count,7
minimum_koma53,-1
maximum_koma53,349
mean_koma53,308.7811447811448
median_koma53,318.0
std_koma53,67.5301427795039
koma53_range,350
total_unit_duration,28.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.25
mean_unit_duration,0.09511784511784512
median_unit_duration,0.0625
std_unit_duration,0.04820847447863302
most_common_note,D5
most_common_note_count,76
