Variable,Value
makam,hicaz
form,ornek_oz
usul,senginsemai
title,1
composer,ruhi_ayangil
filename,hicaz--ornek_oz--senginsemai--1--ruhi_ayangil.txt
note_count,33
unique_note_count,10
minimum_koma53,296
maximum_koma53,358
mean_koma53,322.6363636363636
median_koma53,322.0
std_koma53,17.33280520757204
koma53_range,62
total_unit_duration,6.0
minimum_unit_duration,0.125
maximum_unit_duration,0.5
mean_unit_duration,0.18181818181818182
median_unit_duration,0.125
std_unit_duration,0.11306675421666136
most_common_note,B4b4
most_common_note_count,6
