Variable,Value
makam,hicaz_zirgule
form,seyir
usul,sofyan
title,1
composer,sefik_gurmeric
filename,hicaz_zirgule--seyir--sofyan--1--sefik_gurmeric.txt
note_count,82
unique_note_count,14
minimum_koma53,-1
maximum_koma53,363
mean_koma53,310.4756097560976
median_koma53,327.0
std_koma53,73.00384322874254
koma53_range,364
total_unit_duration,14.0
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.17073170731707318
median_unit_duration,0.125
std_unit_duration,0.13431667930774255
most_common_note,E5
most_common_note_count,15
