Variable,Value
makam,kurdilihicazkar
form,sarki
usul,curcuna
title,diyelim_sen
composer,selanikli_ahmed_bey
filename,kurdilihicazkar--sarki--curcuna--diyelim_sen--selanikli_ahmed_bey.txt
note_count,284
unique_note_count,14
minimum_koma53,-1
maximum_koma53,362
mean_koma53,303.67605633802816
median_koma53,335.0
std_koma53,96.14539558668311
koma53_range,363
total_unit_duration,52.5
minimum_unit_duration,0.125
maximum_unit_duration,0.375
mean_unit_duration,0.18485915492957747
median_unit_duration,0.125
std_unit_duration,0.08500455955755012
most_common_note,G5
most_common_note_count,54
