Variable,Value
makam,beyati
form,sarki
usul,agiraksak
title,gul_hazin
composer,rahmi_bey
filename,beyati--sarki--agiraksak--gul_hazin--rahmi_bey.txt
note_count,575
unique_note_count,16
minimum_koma53,-1
maximum_koma53,371
mean_koma53,327.80695652173915
median_koma53,333.0
std_koma53,46.7381610747729
koma53_range,372
total_unit_duration,71.5
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.12434782608695652
median_unit_duration,0.125
std_unit_duration,0.07942354578496738
most_common_note,D5
most_common_note_count,106
