Variable,Value
makam,nihavent
form,fantezi
usul,nimsofyan
title,ayaginda_halhali
composer,bilge_ozgen
filename,nihavent--fantezi--nimsofyan--ayaginda_halhali--bilge_ozgen.txt
note_count,867
unique_note_count,14
minimum_koma53,-1
maximum_koma53,362
mean_koma53,291.4901960784314
median_koma53,327.0
std_koma53,103.79930819534484
koma53_range,363
total_unit_duration,80.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.25
mean_unit_duration,0.092560553633218
median_unit_duration,0.0625
std_unit_duration,0.05315687240818157
most_common_note,D5
most_common_note_count,187
