Variable,Value
makam,ruhnevaz
form,sarki
usul,devrituran
title,cozemem_gozlerinin
composer,BURC9191
filename,ruhnevaz--sarki--devrituran--cozemem_gozlerinin--BURC9191.txt
note_count,479
unique_note_count,16
minimum_koma53,-1
maximum_koma53,371
mean_koma53,308.74947807933194
median_koma53,327.0
std_koma53,69.90384814964554
koma53_range,372
total_unit_duration,77.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.16075156576200417
median_unit_duration,0.125
std_unit_duration,0.07949325563252461
most_common_note,E5
most_common_note_count,107
