Variable,Value
makam,beyatiaraban
form,ilahi
usul,duyek
title,gonul_mazhardir
composer,enderunlu_hafiz_husnu_efendi
filename,beyatiaraban--ilahi--duyek--gonul_mazhardir--enderunlu_hafiz_husnu_efendi.txt
note_count,513
unique_note_count,13
minimum_koma53,-1
maximum_koma53,371
mean_koma53,334.14424951267057
median_koma53,340.0
std_koma53,37.19399432620301
koma53_range,372
total_unit_duration,64.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.625
mean_unit_duration,0.125
median_unit_duration,0.125
std_unit_duration,0.08193819126329309
most_common_note,G5
most_common_note_count,80
