Variable,Value
makam,hicaz_humayun
form,seyir
usul,sofyan
title,1
composer,erol_bingol
filename,hicaz_humayun--seyir--sofyan--1--erol_bingol.txt
note_count,50
unique_note_count,10
minimum_koma53,296
maximum_koma53,362
mean_koma53,321.92
median_koma53,322.0
std_koma53,17.10452858044277
koma53_range,66
total_unit_duration,8.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.5
mean_unit_duration,0.16
median_unit_duration,0.125
std_unit_duration,0.11375434506166418
most_common_note,A4
most_common_note_count,10
