Variable,Value
makam,kurdi
form,sarki
usul,nimsofyan
title,susadim_gulusune
composer,erol_sayan
filename,kurdi--sarki--nimsofyan--susadim_gulusune--erol_sayan.txt
note_count,645
unique_note_count,12
minimum_koma53,-1
maximum_koma53,349
mean_koma53,305.9705426356589
median_koma53,318.0
std_koma53,56.702126225512124
koma53_range,350
total_unit_duration,99.75
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.15465116279069768
median_unit_duration,0.125
std_unit_duration,0.11746577743746232
most_common_note,D5
most_common_note_count,116
