Variable,Value
makam,nihavent
form,turku
usul,azeriyuruksemai
title,aman_avci
composer,
filename,nihavent--turku--azeriyuruksemai--aman_avci--.txt
note_count,382
unique_note_count,9
minimum_koma53,0
maximum_koma53,349
mean_koma53,316.1151832460733
median_koma53,318.0
std_koma53,21.79834398205592
koma53_range,349
total_unit_duration,56.75
minimum_unit_duration,0.0625
maximum_unit_duration,0.375
mean_unit_duration,0.14856020942408377
median_unit_duration,0.125
std_unit_duration,0.06998468364837303
most_common_note,C5
most_common_note_count,75
