Variable,Value
makam,sehnazbuselik
form,aranagme
usul,semai
title,1
composer,
filename,sehnazbuselik--aranagme--semai--1--.txt
note_count,129
unique_note_count,13
minimum_koma53,0
maximum_koma53,371
mean_koma53,329.70542635658916
median_koma53,336.0
std_koma53,33.9039090437904
koma53_range,371
total_unit_duration,24.25
minimum_unit_duration,0.08333333333333333
maximum_unit_duration,0.75
mean_unit_duration,0.187984496124031
median_unit_duration,0.125
std_unit_duration,0.15634686919715385
most_common_note,E5
most_common_note_count,24
