Variable,Value
makam,mahur
form,sarki
usul,curcuna
title,gittin_gideli
composer,nuri_halil_poyraz
filename,mahur--sarki--curcuna--gittin_gideli--nuri_halil_poyraz.txt
note_count,405
unique_note_count,18
minimum_koma53,-1
maximum_koma53,371
mean_koma53,296.19506172839505
median_koma53,327.0
std_koma53,100.03790853406494
koma53_range,372
total_unit_duration,78.875
minimum_unit_duration,0.0625
maximum_unit_duration,1.25
mean_unit_duration,0.19475308641975309
median_unit_duration,0.125
std_unit_duration,0.18473480998823968
most_common_note,D5
most_common_note_count,59
