Variable,Value
makam,beyati
form,sarki
usul,yuruksemai_ii
title,uzulme_bir
composer,omer_sami_gupgup
filename,beyati--sarki--yuruksemai_ii--uzulme_bir--omer_sami_gupgup.txt
note_count,238
unique_note_count,12
minimum_koma53,305
maximum_koma53,371
mean_koma53,334.28991596638656
median_koma53,334.5
std_koma53,17.594710055406903
koma53_range,66
total_unit_duration,36.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.15126050420168066
median_unit_duration,0.125
std_unit_duration,0.12420522605887171
most_common_note,D5
most_common_note_count,47
