Variable,Value
makam,muhayyer
form,sarki
usul,curcuna
title,ol_gonca-dehen
composer,sevki_bey
filename,muhayyer--sarki--curcuna--ol_gonca-dehen--sevki_bey.txt
note_count,390
unique_note_count,14
minimum_koma53,-1
maximum_koma53,389
mean_koma53,329.83076923076925
median_koma53,336.0
std_koma53,57.24921460309778
koma53_range,390
total_unit_duration,68.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.875
mean_unit_duration,0.17435897435897435
median_unit_duration,0.125
std_unit_duration,0.11978010855361178
most_common_note,A5
most_common_note_count,62
