Variable,Value
makam,rast
form,sarki
usul,duyek
title,sensiz_kalan
composer,irfan_ozbakir
filename,rast--sarki--duyek--sensiz_kalan--irfan_ozbakir.txt
note_count,492
unique_note_count,10
minimum_koma53,-1
maximum_koma53,358
mean_koma53,314.4512195121951
median_koma53,318.0
std_koma53,54.16685824482207
koma53_range,359
total_unit_duration,54.125
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.11001016260162602
median_unit_duration,0.0625
std_unit_duration,0.09247331029993587
most_common_note,D5
most_common_note_count,85
