Variable,Value
makam,buselik
form,sarki
usul,aksaksemai
title,hala_bilmem
composer,mutlu_torun
filename,buselik--sarki--aksaksemai--hala_bilmem--mutlu_torun.txt
note_count,373
unique_note_count,17
minimum_koma53,-1
maximum_koma53,367
mean_koma53,290.79356568364614
median_koma53,318.0
std_koma53,101.00065347065353
koma53_range,368
total_unit_duration,80.375
minimum_unit_duration,0.125
maximum_unit_duration,1.25
mean_unit_duration,0.21548257372654156
median_unit_duration,0.125
std_unit_duration,0.15262015482194433
most_common_note,C5
most_common_note_count,65
