Variable,Value
makam,hicazkar
form,seyir
usul,semai
title,1
composer,rauf_yekta
filename,hicazkar--seyir--semai--1--rauf_yekta.txt
note_count,80
unique_note_count,15
minimum_koma53,-1
maximum_koma53,371
mean_koma53,313.5625
median_koma53,335.0
std_koma53,84.18121558258721
koma53_range,372
total_unit_duration,24.0
minimum_unit_duration,0.125
maximum_unit_duration,0.5
mean_unit_duration,0.3
median_unit_duration,0.25
std_unit_duration,0.11866877635255475
most_common_note,G5
most_common_note_count,13
