Variable,Value
makam,acemasiran
form,kupe
usul,aksaksemai
title,bir
composer,ahmet_avni_konuk
filename,acemasiran--kupe--aksaksemai--bir--ahmet_avni_konuk.txt
note_count,93
unique_note_count,13
minimum_koma53,-1
maximum_koma53,362
mean_koma53,308.3225806451613
median_koma53,327.0
std_koma53,76.78260690874376
koma53_range,363
total_unit_duration,10.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.25
mean_unit_duration,0.10752688172043011
median_unit_duration,0.125
std_unit_duration,0.057817524310061506
most_common_note,F5
most_common_note_count,17
