Variable,Value
makam,nihavent
form,sarki
usul,semai
title,icimde_nice
composer,avni_anil
filename,nihavent--sarki--semai--icimde_nice--avni_anil.txt
note_count,537
unique_note_count,12
minimum_koma53,-1
maximum_koma53,380
mean_koma53,320.91806331471133
median_koma53,340.0
std_koma53,84.11876814630138
koma53_range,381
total_unit_duration,179.5
minimum_unit_duration,0.125
maximum_unit_duration,1.5
mean_unit_duration,0.33426443202979517
median_unit_duration,0.25
std_unit_duration,0.3220540548939014
most_common_note,E5b5
most_common_note_count,90
