Variable,Value
makam,muhayyer
form,sarki
usul,aksak
title,seb-i_yelda-yi
composer,sevki_bey
filename,muhayyer--sarki--aksak--seb-i_yelda-yi--sevki_bey.txt
note_count,320
unique_note_count,15
minimum_koma53,-1
maximum_koma53,380
mean_koma53,315.115625
median_koma53,344.0
std_koma53,97.74383899921301
koma53_range,381
total_unit_duration,54.125
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.169140625
median_unit_duration,0.125
std_unit_duration,0.10035128224959525
most_common_note,A5
most_common_note_count,57
