Variable,Value
makam,mahur
form,sarki
usul,aksak
title,sana_layik_mi
composer,dede_efendi
filename,mahur--sarki--aksak--sana_layik_mi--dede_efendi.txt
note_count,855
unique_note_count,18
minimum_koma53,-1
maximum_koma53,380
mean_koma53,330.6479532163743
median_koma53,336.0
std_koma53,39.7876246444241
koma53_range,381
total_unit_duration,67.625
minimum_unit_duration,0.03125
maximum_unit_duration,0.375
mean_unit_duration,0.079093567251462
median_unit_duration,0.0625
std_unit_duration,0.054585157684535535
most_common_note,G5
most_common_note_count,122
