Variable,Value
makam,hicaz_humayun
form,aranagme
usul,curcuna
title,1
composer,
filename,hicaz_humayun--aranagme--curcuna--1--.txt
note_count,54
unique_note_count,12
minimum_koma53,-1
maximum_koma53,371
mean_koma53,326.31481481481484
median_koma53,336.0
std_koma53,48.67986452674676
koma53_range,372
total_unit_duration,7.5
minimum_unit_duration,0.125
maximum_unit_duration,0.375
mean_unit_duration,0.1388888888888889
median_unit_duration,0.125
std_unit_duration,0.04649677070006681
most_common_note,E5
most_common_note_count,8
