Variable,Value
makam,acemkurdi
form,sarki
usul,aksak
title,hatay
composer,cevdet_cagla
filename,acemkurdi--sarki--aksak--hatay--cevdet_cagla.txt
note_count,399
unique_note_count,18
minimum_koma53,-1
maximum_koma53,380
mean_koma53,317.96491228070175
median_koma53,336.0
std_koma53,65.88957392249753
koma53_range,381
total_unit_duration,51.875
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.1300125313283208
median_unit_duration,0.125
std_unit_duration,0.09205618010124338
most_common_note,F5
most_common_note_count,60
