Variable,Value
makam,rast
form,sarki
usul,agirduyek
title,bu_husn
composer,dede_efendi
filename,rast--sarki--agirduyek--bu_husn--dede_efendi.txt
note_count,742
unique_note_count,21
minimum_koma53,-1
maximum_koma53,371
mean_koma53,305.7897574123989
median_koma53,316.0
std_koma53,66.20659607043636
koma53_range,372
total_unit_duration,80.0
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.1078167115902965
median_unit_duration,0.0625
std_unit_duration,0.08665407516059646
most_common_note,D5
most_common_note_count,121
