Variable,Value
makam,saba
form,turku
usul,curcuna
title,yesil_yaprak
composer,
filename,saba--turku--curcuna--yesil_yaprak--.txt
note_count,641
unique_note_count,8
minimum_koma53,-1
maximum_koma53,349
mean_koma53,316.2496099843994
median_koma53,318.0
std_koma53,39.82108546365732
koma53_range,350
total_unit_duration,97.625
minimum_unit_duration,0.03125
maximum_unit_duration,0.625
mean_unit_duration,0.15230109204368175
median_unit_duration,0.125
std_unit_duration,0.08811254763590093
most_common_note,C5
most_common_note_count,180
