Variable,Value
makam,sultaniyegah
form,sarki
usul,sofyan
title,andikca_gecen
composer,lemi_atli
filename,sultaniyegah--sarki--sofyan--andikca_gecen--lemi_atli.txt
note_count,633
unique_note_count,20
minimum_koma53,-1
maximum_koma53,380
mean_koma53,307.5529225908373
median_koma53,318.0
std_koma53,60.78099924169037
koma53_range,381
total_unit_duration,87.5
minimum_unit_duration,0.03125
maximum_unit_duration,0.75
mean_unit_duration,0.1382306477093207
median_unit_duration,0.125
std_unit_duration,0.11131122675470238
most_common_note,D5
most_common_note_count,97
