Variable,Value
makam,muhayyer
form,etud
usul,sofyan
title,
composer,hasan_esen
filename,muhayyer--etud--sofyan----hasan_esen.txt
note_count,100
unique_note_count,10
minimum_koma53,-1
maximum_koma53,371
mean_koma53,315.0
median_koma53,336.0
std_koma53,88.69115633546116
koma53_range,372
total_unit_duration,16.0
minimum_unit_duration,0.0625
maximum_unit_duration,0.75
mean_unit_duration,0.16
median_unit_duration,0.125
std_unit_duration,0.10782222086903659
most_common_note,G5
most_common_note_count,15
