Variable,Value
makam,kurdilihicazkar
form,longa
usul,nimsofyan
title,
composer,haydar_tatliyay
filename,kurdilihicazkar--longa--nimsofyan----haydar_tatliyay.txt
note_count,667
unique_note_count,14
minimum_koma53,-1
maximum_koma53,380
mean_koma53,324.8230884557721
median_koma53,331.0
std_koma53,52.39462647581536
koma53_range,381
total_unit_duration,67.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.25
mean_unit_duration,0.10082458770614693
median_unit_duration,0.08333333333333333
std_unit_duration,0.0486903785989649
most_common_note,E5b5
most_common_note_count,113
