Variable,Value
makam,rast
form,sarki
usul,curcuna
title,gamdan_azade
composer,rifat_bey
filename,rast--sarki--curcuna--gamdan_azade--rifat_bey.txt
note_count,479
unique_note_count,19
minimum_koma53,-1
maximum_koma53,371
mean_koma53,301.48434237995826
median_koma53,318.0
std_koma53,80.43612336886062
koma53_range,372
total_unit_duration,81.375
minimum_unit_duration,0.0625
maximum_unit_duration,0.625
mean_unit_duration,0.16988517745302714
median_unit_duration,0.125
std_unit_duration,0.09444990870313485
most_common_note,D5
most_common_note_count,81
