Variable,Value
makam,huzzam
form,sarki
usul,duyek
title,unuttun_mu
composer,mustafa_seyran
filename,huzzam--sarki--duyek--unuttun_mu--mustafa_seyran.txt
note_count,392
unique_note_count,12
minimum_koma53,-1
maximum_koma53,371
mean_koma53,319.1224489795918
median_koma53,343.0
std_koma53,84.51035624802884
koma53_range,372
total_unit_duration,52.125
minimum_unit_duration,0.041666666666666664
maximum_unit_duration,1.0
mean_unit_duration,0.1329719387755102
median_unit_duration,0.125
std_unit_duration,0.13425940039093345
most_common_note,G5
most_common_note_count,98
