Variable,Value
makam,hicazkar
form,sarki
usul,duyek
title,sen_gozlerinle
composer,alaeddin_yavasca
filename,hicazkar--sarki--duyek--sen_gozlerinle--alaeddin_yavasca.txt
note_count,488
unique_note_count,20
minimum_koma53,-1
maximum_koma53,380
mean_koma53,309.5389344262295
median_koma53,332.0
std_koma53,85.15562827669687
koma53_range,381
total_unit_duration,50.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.10297131147540983
median_unit_duration,0.0625
std_unit_duration,0.06773765320150285
most_common_note,E5b4
most_common_note_count,79
