Variable,Value
makam,segah
form,ilahi
usul,yuruksemai
title,dinle_sozumu
composer,
filename,segah--ilahi--yuruksemai--dinle_sozumu--.txt
note_count,222
unique_note_count,12
minimum_koma53,-1
maximum_koma53,358
mean_koma53,311.5135135135135
median_koma53,318.0
std_koma53,58.53047546911
koma53_range,359
total_unit_duration,35.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.625
mean_unit_duration,0.15878378378378377
median_unit_duration,0.125
std_unit_duration,0.08077492671379033
most_common_note,B4b1
most_common_note_count,58
