Variable,Value
makam,hicaz
form,sarki
usul,semai
title,hastayim_yalnizim
composer,lemi_atli
filename,hicaz--sarki--semai--hastayim_yalnizim--lemi_atli.txt
note_count,388
unique_note_count,20
minimum_koma53,-1
maximum_koma53,389
mean_koma53,325.60309278350513
median_koma53,336.0
std_koma53,48.56698074120884
koma53_range,390
total_unit_duration,123.25
minimum_unit_duration,0.125
maximum_unit_duration,1.5
mean_unit_duration,0.3176546391752577
median_unit_duration,0.25
std_unit_duration,0.2910666728883225
most_common_note,E5
most_common_note_count,52
