Variable,Value
makam,evic
form,rumeliturkusu
usul,sofyan
title,sahane_gozler
composer,
filename,evic--rumeliturkusu--sofyan--sahane_gozler--.txt
note_count,428
unique_note_count,15
minimum_koma53,-1
maximum_koma53,371
mean_koma53,325.00233644859816
median_koma53,336.0
std_koma53,51.61116098599347
koma53_range,372
total_unit_duration,53.25
minimum_unit_duration,0.0625
maximum_unit_duration,1.0
mean_unit_duration,0.1244158878504673
median_unit_duration,0.125
std_unit_duration,0.09173840177683601
most_common_note,F5#4
most_common_note_count,80
