Variable,Value
makam,huzzam
form,ilahi
usul,nimsofyan
title,ey_allahim
composer,hulusi_gokmen
filename,huzzam--ilahi--nimsofyan--ey_allahim--hulusi_gokmen.txt
note_count,75
unique_note_count,7
minimum_koma53,-1
maximum_koma53,358
mean_koma53,305.2
median_koma53,327.0
std_koma53,82.98241428809528
koma53_range,359
total_unit_duration,13.25
minimum_unit_duration,0.0625
maximum_unit_duration,0.25
mean_unit_duration,0.17666666666666667
median_unit_duration,0.1875
std_unit_duration,0.07714646185390861
most_common_note,D5
most_common_note_count,28
