Variable,Value
makam,hicaz_uzzal
form,sarki
usul,senginsemai
title,nesem_emelim
composer,lemi_atli
filename,hicaz_uzzal--sarki--senginsemai--nesem_emelim--lemi_atli.txt
note_count,533
unique_note_count,14
minimum_koma53,-1
maximum_koma53,371
mean_koma53,324.41651031894935
median_koma53,336.0
std_koma53,69.33263418468394
koma53_range,372
total_unit_duration,65.25
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.1224202626641651
median_unit_duration,0.0625
std_unit_duration,0.10160873847887898
most_common_note,E5
most_common_note_count,91
