Variable,Value
makam,buselik
form,agirsemai
usul,agir_aksaksemai
title,soyle_ey_nalem
composer,ahmed_irsoy
filename,buselik--agirsemai--agir_aksaksemai--soyle_ey_nalem--ahmed_irsoy.txt
note_count,474
unique_note_count,15
minimum_koma53,-1
maximum_koma53,380
mean_koma53,323.3523206751055
median_koma53,336.0
std_koma53,56.90996863016885
koma53_range,381
total_unit_duration,70.0
minimum_unit_duration,0.03125
maximum_unit_duration,0.5
mean_unit_duration,0.14767932489451477
median_unit_duration,0.125
std_unit_duration,0.11516257779758024
most_common_note,D5
most_common_note_count,80
