Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Sira,-0.0057462308543199826,0.4023957485703887,0.5693154070623667,0.1461604380691625,-0.025955752905821562,-0.018147875440207125,0.6918542736731945,-0.11318049048361531,0.009302116122084376,2.6571838066515033e-05
Kod,-0.16025891686450255,-0.03934673009911438,-0.05464656081388586,0.27498122707439104,-0.5838813819454519,0.7333532052188217,0.02467052265318692,0.1115790382690025,-0.04883732099435983,1.9121394997258096e-05
Koma53,0.5654721756934125,0.04106555434427041,-0.010860483026756622,-0.013885963788334208,0.017390338625189912,0.11961318898531471,-0.0007302187969397975,-0.01630055430308858,-0.4043661278843068,-0.7070050375733458
KomaAE,0.5654863512654466,0.04095366568981018,-0.010823583263628913,-0.013863142360787752,0.017382800909475655,0.11959124049630723,-0.000765218877674249,-0.01633132611171378,-0.404009031657908,0.7072084735943964
Pay,0.01130205464584599,0.3092029232898282,-0.35783470396878586,0.7031208143057296,0.042011021370717806,-0.1586446931543331,-0.11685745523047159,-0.49111659548014697,0.007551232516242356,4.617021359220496e-06
Payda,0.1161417677137653,-0.4403752928310336,0.20513075769418096,0.6162236406215877,0.02716961371625924,-0.2766880589390089,0.040385093285517766,0.54010590374384,-0.011431262858868124,-3.9813128775119155e-05
Ms,-0.04939408868296203,0.5624149259125074,-0.46348250208986663,-0.012453427756727458,0.15533040262582307,0.008604254679964462,0.16797981144437757,0.6431147017047998,-0.016224895929681245,8.04951181810638e-05
LNS,-0.13289702998993577,-0.0930368686362692,0.12146474517469975,0.15685563129516292,0.7920865199196508,0.5518807961230623,-0.04016748853758823,-0.026611337171415974,-0.005485301703598122,8.696992591006113e-07
Bas,0.5483203150057124,0.03965415200978924,-0.01753211890647235,0.00456505931662015,-0.009584165441911513,0.16338222638683367,-0.009172656077655767,0.01806767894294358,0.8186867143156231,-0.00020604697012805836
Offset,-0.019423037188073144,0.4659294023589047,0.5221659010818127,0.06121578982836692,-0.06066865741023453,-0.013774337624552602,-0.6895843009540515,0.16329988688742927,-0.008009794613739511,1.0417721069736139e-05
