filename,error
huzzam--sarki--senginsemai--sen_sanki_baharin--musa_sureyya_bey.xml,"no element found: line 2105, column 0"
huzzam--sazsemaisi--aksaksemai----refik_fersan.xml,"no element found: line 1542, column 0"
huzzam--turku--düyek--kadem_basti--raci_alkir.xml,"not well-formed (invalid token): line 10, column 26"
karcigar--kocekce--aksak--benliyi_aldim--dede_efendi.xml,"no element found: line 134, column 0"
karcigar--kocekce--aksak--girdi_gonul--dede_efendi.xml,"no element found: line 3579, column 0"
karcigar--sarki--aksak--gulmezse_yuzun--mustafa_nafiz_irmak.xml,"no element found: line 2448, column 0"
kurdi--turku--duyek--kutahyanin_pinarlari--kütahya.xml,"not well-formed (invalid token): line 10, column 54"
kurdilihicazkar--sarki--aksak--demedim_hic--rakim_elkutlu.xml,"no element found: line 1308, column 0"
kurdilihicazkar--sarki--duyek--arifem_ahkami--haci_arif_bey.xml,"no element found: line 341, column 0"
kurdilihicazkar--sarki--duyek--feryadim_askim--aleko_bacanos.xml,"no element found: line 180, column 0"
kurdilihicazkar--sarki--evfer--karsiyakada--lavtaci_hristo.xml,"no element found: line 893, column 0"
kurdilihicazkar--sarki--kapali_curcuna--bitmez_tukenmez--selahattin_icli.xml,"no element found: line 143, column 0"
mahur--sarki--aksak--olmusum_divane--komurcuzade.xml,"no element found: line 2387, column 0"
mahur--sarki--duyek--hosgeldin_elimize--sadettin_kaynak.xml,"no element found: line 4035, column 0"
muhayyer--sarki--aksak--ey_ates-i--haci_arif_bey.xml,"no element found: line 103, column 0"
muhayyer--sarki--duyek--cepcevre_bahar--munir_nurettin_selcuk.xml,"no element found: line 3059, column 0"
muhayyerkurdi--sarki--aksak--bilmem_ki--rakim_elkutlu.xml,"no element found: line 2385, column 0"
muhayyerkurdi--sarki--duyek--nemlendi_yine--sinan_sipahi.xml,"no element found: line 474, column 0"
muhayyerkurdi--turku--sofyan--cahildim_dunyanin--kirsehir.xml,"no element found: line 87, column 0"
neva--kar--nimsakil--ey_gulbun-i--itri.xml,"no element found: line 8764, column 0"
nihavent--sarki--curcuna--gecti_omrum--selahaddin_pinar.xml,"no element found: line 4575, column 0"
nihavent--sarki--curcuna--husranla_gonul--neveser_kokdes.xml,"no element found: line 3469, column 0"
nihavent--sarki--sofyan--ben_sana_mecburum--erol_sayan.xml,"no element found: line 8477, column 0"
nikriz--sarki--curcuna--o_guzel--emin_ongan.xml,"no element found: line 3160, column 0"
nikriz--sazsemaisi--aksaksemai----refik_fersan.xml,"no element found: line 6479, column 0"
pesendide--sazsemaisi--aksaksemai----iii_selim.xml,"no element found: line 1985, column 0"
rast--kar_i_natik--yuruksemai--rast_getirub--dede_efendi.xml,"no element found: line 7580, column 0"
rast--sarki--duyek--o_dudaklar--sadettin_kaynak.xml,"no element found: line 90, column 0"
ruhnevaz--pesrev--devrikebir----huseyin_sadettin_arel.xml,"no element found: line 6744, column 0"
saba--sarki--senginsemai--sahilde_saba_ruzgari--mustafa_nafiz_irmak.xml,"no element found: line 762, column 0"
saba--tavsanca--semai--gelmis_degil--sakir_aga.xml,"no element found: line 972, column 0"
segah--sarki--semai--ben_seni--amir_ates.xml,"no element found: line 3393, column 0"
segah--sarki--semai--sensin_tek--gulen_ertek.xml,"no element found: line 5106, column 0"
sehnaz--sarki--aksak--can_misin--zeki_arif_ataergin.xml,"no element found: line 3797, column 0"
sehnaz--sarki--duyek--dalda_bir--sadettin_kaynak.xml,"no element found: line 3403, column 0"
sultaniyegah--sarki--aksak--geldi_kuslarla--alaeddin_yavasca.xml,"no element found: line 3007, column 0"
sultaniyegah--sarki--curcuna--peymaneme_mehtab--emin_ongan.xml,"no element found: line 2682, column 0"
sultaniyegah--sarki--senginsemai--al_sazini--bimen_sen.xml,"no element found: line 1007, column 0"
suzidil--sazsemaisi--aksaksemai--yadigar--ali_rifat_cagatay.xml,"no element found: line 3716, column 0"
ussak--gazel----aheste_cek--munir_nurettin_selcuk.xml,"no element found: line 4431, column 0"
ussak--sarki--aksak--canim_tezdir--tanburi_mustafa_cavus.xml,"no element found: line 1500, column 0"
