ID,Cluster
acemasiran--sarki--sofyan--bakma_sakin--sakir_aga,3
acemasiran--sarki--sofyan--gonul_sana--sadettin_kaynak,0
acemasiran--sarki--sofyan--nideyim_bilmem--sadettin_kaynak,3
acemasiran--sarki--yuruksemai--gel_ey_denizin--aleko_bacanos,3
acemasiran--sazsemaisi--aksaksemai----gazi_giray_han,3
acemasiran--sazsemaisi--aksaksemai----misirli_udi_ibrahim_efendi,0
acemasiran--sazsemaisi--aksaksemai----serafettin_seref_cakar,3
acemasiran--selam--agirduyek--her_ruz--huseyin_fahreddin_dede,0
acemasiran--selam--mevlevievferi--bi_dil--huseyin_fahreddin_dede,0
acemasiran--selam--mevlevievferi--sultan-i_meni--huseyin_fahreddin_dede,3
acemasiran--seyir--semai--1--rauf_yekta,2
acemasiran--seyir--sofyan--1--erol_bingol,2
acemasiran--seyir--sofyan--1--sefik_gurmeric,2
acemasiran--yuruksemai--yuruksemai--bileydi_dil--itri,0
acemasiran--yuruksemai--yuruksemai_ii----huseyin_fahreddin_dede,3
acemasiran--zeybek--agiraksak--su_izmirin--tahsin_karakus,3
acembuselik--kupe--agiraksak--istedik--ahmet_avni_konuk,1
acembuselik--sarki--aksak--coktan_idim--kemenceci_usta_yani,1
acemkurdi--agirsemai--agir_aksaksemai--dur_etme--osep_aga,3
acemkurdi--aranagme--aksak--1--,0
acemkurdi--aranagme--curcuna--1--,3
acemkurdi--aranagme--duyek--1--,0
acemkurdi--aranagme--senginsemai--1--,3
acemkurdi--aranagme--sofyan----,0
acemkurdi--fantezi--nimsofyan--askin_kanununu--sadettin_oktenay,3
acemkurdi--fantezi--semai--son_verelim--sekip_ayhan_ozisik,3
acemkurdi--fantezi--sofyan--sana_oyle--alaaddin_pakyuz,1
acemkurdi--kupe--musemmen--bezmimizde--ahmet_avni_konuk,2
acemkurdi--nakis--yuruksemai--gonlum_yine--muallim_ismail_hakki_bey,1
acemkurdi--nefes--bektasiraksani--sah_merdanin--,1
acemkurdi--pesrev--fahte----muallim_ismail_hakki_bey,1
acemkurdi--sarki--agiraksak--sevdi_gonlum--nikogos_aga,3
acemkurdi--sarki--aksak--altin_tasta--nimet_hanim,3
acemkurdi--sarki--aksak--beyhude_yere--ercument_berker,3
acemkurdi--sarki--aksak--hatay--cevdet_cagla,1
acemkurdi--sarki--aksak--kir_atima--nasibin_mehmet_yuru,3
acemkurdi--sarki--aksak--ruhum_su--alaeddin_yavasca,3
acemkurdi--sarki--curcuna--bana_askin--huseyin_coskuner,3
