ID,PC1,PC2
acem--ilahi--duyek--aldanma_dunya--zekai_dede,1.535036321924514,-2.3032006827383684
acem--ilahi--nimevsat--calabim_bir--haci_bayram_veli,3.180909373255021,-1.5952161606875779
acem--kupe--duyek--zulfunu--ahmet_avni_konuk,3.7812325364564017,-6.674462676462725
acem--selam--devrikebir--asik-i_ger--huseyin_fahreddin_dede,-3.300006192443182,-0.33060538737539025
acem--seyir--sofyan----sefik_gurmeric,5.835599869455598,-1.4830760963924141
acem--seyir--sofyan--1--erol_bingol,5.198438788148233,-8.728561205920716
acem--turku--duyek--ordunun_dereleri--ordu,0.15808670076414566,-0.6933293642518135
acemasiran--agirsemai--senginsemai--ey_lebleri--dede_efendi,-6.719376884539703,-0.7063613167082485
acemasiran--aranagme--agiraksak--1--,9.207652795744329,-3.4757030232010413
acemasiran--aranagme--aksak--1--,-6.7194248518830175,-8.672605037065109
acemasiran--aranagme--curcuna--1--,-3.0610044235589795,-3.6365011798478846
acemasiran--aranagme--semai--1--,2.529112240836383,0.17329621299800171
acemasiran--aranagme--senginsemai--1--,-0.44618680621445467,0.5986976847595203
acemasiran--aranagme--sofyan--1--,9.767547018917409,2.918607331476431
acemasiran--aranagme--yuruksemai--1--,-1.5749178594460835,-4.60313741084342
acemasiran--beste--devrikebir--ber_kusa-yi--basmaci_abdi_efendi,-1.9187581498885757,-1.5435025248663985
acemasiran--beste--zencir--hayatin_cumleye--dellalzade_haci_ismail_efendi,1.0657257005644847,-0.44437469669417046
acemasiran--fantezi--yuruksemai_ii--ey_benim--resat_erer,-0.07707855250658029,-6.298156884847843
acemasiran--ilahi--muhammes--ta_dil--calakzade_mustafa_efendi,-0.4872306594649562,1.1002378316779036
acemasiran--kupe--aksaksemai--bir--ahmet_avni_konuk,-2.742356304070983,-14.92428200016838
acemasiran--mars--nimsofyan--korkma_sonmez--ali_rifat_cagatay,-0.21992409847062278,-3.932418570935246
acemasiran--nakis--yuruksemai--ne_hevayi--dede_efendi,-4.708462819970609,0.6069799024118614
acemasiran--pesrev--devrikebir----dede_salih_efendi,-6.557764721665287,-2.526573101043006
acemasiran--pesrev--duyek--son_pesrev--huseyin_fahreddin_dede,1.5039183729494137,-12.677939355627673
acemasiran--pesrev--frenkcin----nuri_halil_poyraz,4.991781824264978,1.3587566510416618
