makam,form,usul,title,composer,filename,note_count,unique_note_count,minimum_koma53,maximum_koma53,mean_koma53,median_koma53,std_koma53,koma53_range,total_unit_duration,minimum_unit_duration,maximum_unit_duration,mean_unit_duration,median_unit_duration,std_unit_duration,most_common_note,most_common_note_count
acemasiran,kupe,aksaksemai,bir,ahmet_avni_konuk,acemasiran--kupe--aksaksemai--bir--ahmet_avni_konuk.txt,93,13,-1,362,308.3225806451613,327.0,76.78260690874376,363,10.0,0.0625,0.25,0.10752688172043011,0.125,0.057817524310061506,F5,17
acemasiran,mars,nimsofyan,korkma_sonmez,ali_rifat_cagatay,acemasiran--mars--nimsofyan--korkma_sonmez--ali_rifat_cagatay.txt,232,13,-1,371,310.6810344827586,336.0,86.90429618280737,372,42.25,0.0625,0.5,0.18211206896551724,0.1875,0.08738872750520717,F5,45
acemasiran,nakis,yuruksemai,ne_hevayi,dede_efendi,acemasiran--nakis--yuruksemai--ne_hevayi--dede_efendi.txt,767,24,-1,371,306.6101694915254,324.0,73.68091923892445,372,155.25,0.0625,1.0,0.20241199478487615,0.125,0.12424990509448901,F5,117
acemasiran,pesrev,devrikebir,,dede_salih_efendi,acemasiran--pesrev--devrikebir----dede_salih_efendi.txt,349,22,-1,380,301.647564469914,327.0,92.30253309729686,381,56.0,0.0625,0.5,0.16045845272206305,0.125,0.07897651054040868,F5,38
acemasiran,pesrev,duyek,son_pesrev,huseyin_fahreddin_dede,acemasiran--pesrev--duyek--son_pesrev--huseyin_fahreddin_dede.txt,241,21,-1,380,322.8838174273859,336.0,56.607300283325024,381,32.0,0.0625,0.375,0.13278008298755187,0.125,0.06656880351681072,F5,34
acemasiran,pesrev,frenkcin,,nuri_halil_poyraz,acemasiran--pesrev--frenkcin----nuri_halil_poyraz.txt,626,21,-1,380,328.1006389776358,336.0,41.59162722942028,381,132.25,0.0625,0.75,0.21126198083067094,0.125,0.13627899638693425,F5,118
acemasiran,pesrev,muhammes,,gazi_giray_han,acemasiran--pesrev--muhammes----gazi_giray_han.txt,548,25,-1,380,330.7810218978102,336.0,29.083744765024782,381,64.25,0.0625,0.5,0.11724452554744526,0.125,0.06821254332501991,F5,90
acemasiran,sarki,agiraksak,bir_haber,bimen_sen,acemasiran--sarki--agiraksak--bir_haber--bimen_sen.txt,548,20,-1,380,323.06021897810217,336.0,50.887498469667456,381,71.875,0.03125,0.6875,0.1311587591240876,0.125,0.08385590592124327,F5,86
acemasiran,sarki,agiraksak,bir_teselli,serif_icli,acemasiran--sarki--agiraksak--bir_teselli--serif_icli.txt,485,17,-1,362,312.96701030927835,318.0,49.67717004300163,363,62.875,0.03125,0.625,0.12963917525773197,0.125,0.09228923224162257,A4,62
acemasiran,sarki,agiraksak,goncasindan_gulsenin,emin_ongan,acemasiran--sarki--agiraksak--goncasindan_gulsenin--emin_ongan.txt,378,19,-1,371,312.6666666666667,327.0,72.02003847294559,372,53.875,0.03125,0.625,0.14252645502645503,0.125,0.10907678330591412,F5,49
acemasiran,sarki,agiraksak,mahveder_her,neyzen_riza_bey,acemasiran--sarki--agiraksak--mahveder_her--neyzen_riza_bey.txt,357,21,-1,371,312.2633053221289,324.0,64.32666041079666,372,44.875,0.03125,0.5,0.12570028011204482,0.125,0.07610005773568441,C5,47
acemasiran,sarki,agiraksak,ne_kadar,artaki_candan,acemasiran--sarki--agiraksak--ne_kadar--artaki_candan.txt,322,20,-1,366,308.51552795031057,327.0,81.74377609011697,367,44.875,0.041666666666666664,0.5,0.13936335403726707,0.125,0.10342377944383717,F5,55
acemasiran,sarki,agirduyek,kime_halim,faize_ergin,acemasiran--sarki--agirduyek--kime_halim--faize_ergin.txt,449,16,-1,380,308.47216035634744,327.0,75.0458773673236,381,73.625,0.0625,0.75,0.16397550111358575,0.125,0.11163910415726325,D5,57
acemasiran,sarki,aksak,acildi_nevbahar,sadullah_aga,acemasiran--sarki--aksak--acildi_nevbahar--sadullah_aga.txt,380,19,-1,371,319.35526315789474,331.0,56.639512753410564,372,54.125,0.0625,0.625,0.1424342105263158,0.125,0.08073599203369787,F5,63
acemasiran,sarki,aksak,dinle_sozum,iii_selim,acemasiran--sarki--aksak--dinle_sozum--iii_selim.txt,404,19,-1,371,326.01237623762376,331.0,41.16392630786011,372,45.3125,0.0625,0.375,0.11215965346534654,0.0625,0.07600316619288723,D5,68
acemasiran,sarki,aksak,dustum_bir,ali_riza_avni_tinaz,acemasiran--sarki--aksak--dustum_bir--ali_riza_avni_tinaz.txt,327,19,-1,371,307.0183486238532,327.0,77.18927199666429,372,50.0,0.0625,0.375,0.1529051987767584,0.125,0.07016064085395068,C5,46
acemasiran,sarki,aksak,gonlum_dusuyor,ismail_baha_surelsan,acemasiran--sarki--aksak--gonlum_dusuyor--ismail_baha_surelsan.txt,282,13,-1,371,306.71276595744683,318.0,78.17863780729428,372,54.125,0.0625,1.0,0.19193262411347517,0.125,0.1850214878341143,C5,42
acemasiran,sarki,aksak,gordum_seni,irfan_dogrusoz,acemasiran--sarki--aksak--gordum_seni--irfan_dogrusoz.txt,459,15,-1,358,300.7494553376906,318.0,81.59849765511429,359,81.75,0.0625,1.125,0.1781045751633987,0.125,0.17914013128947634,C5,73
acemasiran,sarki,aksak,lutfeyle_meded,dede_efendi,acemasiran--sarki--aksak--lutfeyle_meded--dede_efendi.txt,238,19,-1,380,314.1890756302521,327.0,70.07146718219896,381,36.125,0.0625,0.5,0.15178571428571427,0.125,0.06422792258654332,F5,31
acemasiran,sarki,aksak,o_tebessum,ismail_baha_surelsan,acemasiran--sarki--aksak--o_tebessum--ismail_baha_surelsan.txt,297,13,-1,371,295.04713804713805,318.0,96.44406269935558,372,53.75,0.0625,0.75,0.18097643097643099,0.125,0.11959185002027979,C5,40
acemasiran,sarki,aksak,oldu_gonul,dede_efendi,acemasiran--sarki--aksak--oldu_gonul--dede_efendi.txt,205,17,-1,371,313.93658536585366,322.0,58.81385456066553,372,29.375,0.0625,0.5,0.14329268292682926,0.125,0.07380053732150661,D5,25
acemasiran,sarki,aksak,yanar_sinem,ismet_aga,acemasiran--sarki--aksak--yanar_sinem--ismet_aga.txt,279,16,-1,371,312.3727598566308,327.0,67.12554631089156,372,45.125,0.0625,0.5,0.1617383512544803,0.125,0.08577423309746879,D5,38
acemasiran,sarki,curcuna,ates-i_askinla,emin_ongan,acemasiran--sarki--curcuna--ates-i_askinla--emin_ongan.txt,372,17,-1,362,328.4274193548387,336.0,31.667623586540493,363,69.375,0.0625,0.625,0.18649193548387097,0.125,0.11974742596996599,F5,61
